name,website,country,maturity,score,tier,matched_rules
Cardiolyse Heart Health AI,https://www.cardiolyse.com,FI,startup,66,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
distil labs,https://distillabs.ai/,DE,startup,65,Tier 2: High Priority,Rule 1: Platform Enablers
Merge.dev,https://www.merge.dev,US,startup,65,Tier 2: High Priority,Rule 1: Platform Enablers
Synthflow AI,https://synthflow.ai/,DE,startup,65,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Nordics,https://www.nordics.io/,SK,startup,64,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Detectivio AB,https://www.detectivio.com/,SE,startup,63,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
easybits GmbH,https://easybits.tech/,DE,startup,63,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Albimarketing Oy,https://albimarketing.com/,FI,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers
Flexora,https://www.flexora.com,DE,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers
Danvantar Biophotonics,https://www.danvantar.com,FI,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Hyphorest,https://hyphorest.com,DE,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers
Elixion Medical,www.elixionmedical.com,Germany,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
ConfidentialMind,www.confidentialmind.com,Finland,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
Bravin AI,https://www.bravin.io/en,MD,startup,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Tiplo,https://tiplo.ai/,GB,startup,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
CyberSmart,www.cybersmart.co.uk,United Kingdom,Undisclosed,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Compliance Consulting Operations GmbH,https://compliance-co.com,,Undisclosed,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
AureliaX,https://www.gomia.ai,NL,startup,61,Tier 2: High Priority,Rule 1: Platform Enablers
"Surg storage Co., Ltd.",https://www.surgstorage.com/,JP,startup,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
AISTUDIO,https://aistudio.com.tr/,TR,startup,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers; Rule 4: Health Innovations
Vindi Biosystems,https://www.vindibiosystems.com/,NL,startup,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Icarus,https://icarustechnology.it,IT,Undisclosed,60,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Cognovo Oy,https://www.cognovo.io,FI,Undisclosed,60,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
AIHI (AI for Humanitarian Impact),https://aiforhumanitarianimpact.org/,GB,Undisclosed,60,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
MicroAGI,www.microagi.ai,Germany,Undisclosed,60,Tier 2: High Priority,Rule 1: Platform Enablers
Flow Technologies,https://flowzone.eu,NO,startup,60,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
eSine,https://esine.ai/,FI,Undisclosed,59,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Anansi,www.withanansi.com,United Kingdom,Undisclosed,59,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
OnCall,https://www.oncall.africa,NA,Undisclosed,59,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
CollectiveCrunch,www.collectivecrunch.com,Finland,Undisclosed,59,Tier 3: Medium Priority,Rule 1: Platform Enablers
CyVi,www.cyvi.io,Sweden,Undisclosed,59,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Binare Oy,https://binare.io,FI,startup,59,Tier 3: Medium Priority,Rule 1: Platform Enablers
Mindler,https://mindlercare.com,SE,startup,59,Tier 3: Medium Priority,Rule 3: Insurance Solutions; Rule 4: Health Innovations
SA-FLaaS,https://youtu.be/oMTvNZ0nwC0,FI,startup,59,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Vespa.ai,https://vespa.ai/,NO,startup,59,Tier 3: Medium Priority,Rule 1: Platform Enablers
Tilect,https://tilect.ai/,PT,startup,59,Tier 3: Medium Priority,Rule 1: Platform Enablers
Latitudo 40 ,https://www.latitudo40.com,IT,startup,59,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Leida,https://www.leida.ai,FI,Undisclosed,58,Tier 3: Medium Priority,Rule 1: Platform Enablers
Wealthreader,https://www.wealthreader.com/,ES,startup,58,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Shen.AI,https://www.shen.ai,EE,startup,58,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Riduck Inc.,https://riduck.com,KR,startup,58,Tier 3: Medium Priority,Rule 1: Platform Enablers
Neuro Event Labs,https://neuroeventlabs.com,FI,scaleup,58,Tier 3: Medium Priority,Rule 4: Health Innovations
voltiumAi,https://www.voltium.ai,US,startup,58,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Gukko,https://www.gukko.fi/,FI,Undisclosed,57,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Shook Digital,https://shook.digital,FI,startup,57,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
spogen.ai,https://spogen.ai/,FI,startup,57,Tier 3: Medium Priority,Rule 1: Platform Enablers
Deepmedi Inc.,https://deep-medi.com,KR,scaleup,57,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Alpha Base,https://www.thealphabase.com/platform,GB,startup,57,Tier 3: Medium Priority,Rule 1: Platform Enablers
DTS Plant Oy,https://dtsplant.com/,FI,Undisclosed,56,Tier 3: Medium Priority,Rule 1: Platform Enablers
EpiHeart,www.epiheart.com,Finland,Undisclosed,56,Tier 3: Medium Priority,Rule 4: Health Innovations; Rule 5: Dev & Legacy
Tonada.ai,https://tonada.ai,SE,Undisclosed,56,Tier 3: Medium Priority,Rule 1: Platform Enablers
Valkiv,www.valkiv.com,Sweden,Undisclosed,56,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Lakeview Oy,https://www.lakeview.fi/,FI,Undisclosed,56,Tier 3: Medium Priority,Rule 1: Platform Enablers
PXL Vision,www.pxl-vision.com,Switzerland,Undisclosed,56,Tier 3: Medium Priority,Rule 3: Insurance Solutions; Rule 4: Health Innovations
Gopf,www.gopf.com,Switzerland,Undisclosed,56,Tier 3: Medium Priority,Rule 1: Platform Enablers
FlyNex,https://flynex.io,DE,scaleup,56,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Monidor Oy,https://monidor.com/,FI,scaleup,56,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Farang AB,https://farang.com/,SE,startup,56,Tier 3: Medium Priority,Rule 1: Platform Enablers
ALDORIA,https://www.aldoria.com/,FR,scaleup,56,Tier 3: Medium Priority,Rule 1: Platform Enablers
Emendu,https://emendu.com/,ES,startup,56,Tier 3: Medium Priority,Rule 1: Platform Enablers
Unfrauded,https://www.unfrauded.com/,TN,startup,56,Tier 3: Medium Priority,Rule 3: Insurance Solutions
RiskVantage AI,https://riskvantage.ai/,US,Undisclosed,55,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Artio,www.artiocarbon.com,United Kingdom,Undisclosed,55,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Codes Devs,codesdevs.io,Estonia,Undisclosed,55,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers; Rule 4: Health Innovations
Zencoder,www.zencoder.ai,United States,Undisclosed,55,Tier 3: Medium Priority,Rule 1: Platform Enablers
Food Pilot,https://www.foodpilot.fr/en/,FR,startup,55,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Otos Health,https://www.otos.health/,FI,startup,55,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Rolog Solutions,https://rolog.no/,NO,startup,55,Tier 3: Medium Priority,Rule 1: Platform Enablers
Ogma,https://meetogma.com/,SE,1 - Emerging,54,Tier 3: Medium Priority,Rule 1: Platform Enablers
Gampr.ai,https://gampr.ai,GB,Undisclosed,54,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Solintel,https://solintel.com/,EE,startup,54,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
TimeTeller GmbH,https://www.timeteller-health.com/en/,DE,startup,54,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Cover Genius,https://covergenius.com/,US,startup,54,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Altum Sequencing SL.,https://www.altumsequencing.com/,ES,startup,54,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
3AGE Health Technologies,https://3age.co,FI,startup,54,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Earthian ,https://earthianai.com/,Netherlands,1 - Emerging,53,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Spheer,spheer.ai,Netherlands,Undisclosed,53,Tier 3: Medium Priority,Rule 1: Platform Enablers
varmo,https://www.varmo-sensors.de,DE,Undisclosed,53,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Teamcare Oy,https://teamcare.fi/,FI,Undisclosed,53,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Enlapser,www.enlapser.com,Finland,Undisclosed,53,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
LeyrAI,https://leyr.ai/,BG,startup,53,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Foxtery,https://www.foxtery.com/,ES,startup,53,Tier 3: Medium Priority,Rule 1: Platform Enablers
AsedaSciences,https://www.asedasciences.com/,CH,scaleup,53,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Ai2Ai Oy,https://www.ai2ai.fi,FI,startup,53,Tier 3: Medium Priority,Rule 4: Health Innovations
SimplyPill,https://www.simplypill.org,NL,startup,53,Tier 3: Medium Priority,Rule 4: Health Innovations
Minimal App,www.minimalapp.co,Sweden,1 - Emerging,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
New Dawn Bio,www.newdawnbio.com,Netherlands,2 - Validating,52,Tier 3: Medium Priority,Rule 3: Insurance Solutions; Rule 4: Health Innovations
Raport,https://www.raport.health,US,1 - Emerging,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Rollyy,https://rollyy.com/,FI,Undisclosed,52,Tier 3: Medium Priority,Rule 1: Platform Enablers
QUIPU,https://thequipu.com/,,Undisclosed,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Nomain,www.nomain.com,Finland,Undisclosed,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
rightflow,rightflow.de,Germany,Undisclosed,52,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Voicari,https://www.voicari.com,DE,Undisclosed,52,Tier 3: Medium Priority,Rule 1: Platform Enablers
Fleetiz,https://fleetiz.com/,FR,Undisclosed,52,Tier 3: Medium Priority,Rule 1: Platform Enablers
Strise,strise.ai,Norway,Undisclosed,52,Tier 3: Medium Priority,Rule 1: Platform Enablers
Medoma AB,https://www.medoma.com,SE,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Reactions,https://usereactions.com/,GB,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
MYOact GmbH,https://www.myoact.de,DE,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Novocam Medical Innovations Oy,https://futudent.com,FI,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Sync Motion GmbH,https://sync-motion.com,AT,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations; Rule 5: Dev & Legacy
Apollo Research,https://www.apolloresearch.ai/,GB,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
Leg&airy Inc.,https://legandairy.com,CH,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions; Rule 4: Health Innovations
Health Data Avatar,https://healthdataavatar.com,GB,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Tunnelworks Inc.,https://tunnelworks.com,FI,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers
Convier,https://convier.com,NO,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers
Untap Health,https://www.untaphealth.com,GB,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Dust,https://dust.tt,FR,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers
MedApp,https://medapp.space/,AL,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
TRIPSO.AI,https://www.tripso.ai/en,US,startup,52,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
GLBNXT,www.glbnxt.com,Netherlands,Undisclosed,51,Tier 3: Medium Priority,Rule 1: Platform Enablers
Inicio AI,https://m.inicio.ai/,GB,Undisclosed,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
GitHits,https://githits.com/,FI,Undisclosed,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
MediGPT,https://medigpt.co/,US,Undisclosed,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Wemates,www.wemates.ai,Poland,Undisclosed,51,Tier 3: Medium Priority,Rule 3: Insurance Solutions
AppFollow,www.appfollow.io,Finland,Undisclosed,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
adric GmbH,https://adric.gmbh/,DE,startup,51,Tier 3: Medium Priority,Rule 1: Platform Enablers
ArcanaBio,https://www.arcanabio.com,DK,startup,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Lumino,https://www.hellolumino.com,GB,startup,51,Tier 3: Medium Priority,Rule 4: Health Innovations
PH2 Group,https://www.linkedin.com/company/105399438/,FI,startup,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Lendorse,https://lendorse.com,DE,startup,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Cheqd,https://cheqd.io/,GB,startup,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Dysplasia Diagnostics Limited,https://www.dysplasiadx.com,GB,startup,51,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Rocsys,https://www.rocsys.com/,NL,startup,51,Tier 3: Medium Priority,Rule 1: Platform Enablers
ClickHouse,https://clickhouse.com/,NL,scaleup,51,Tier 3: Medium Priority,Rule 1: Platform Enablers
arterioscope,https://arterioscope.com/,AT,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Chapter,www.chapter.works,Netherlands,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
CheckIA,https://checkia.ai,ES,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Garba,https://garba.ai/,SE,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Foundation Clinic,https://foundation.clinic,FI,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
ICDx R2B,https://icdx.utu.fi/,FI,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Telosa,https://jointelosa.com,NL,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers; Rule 3: Insurance Solutions
Blitzhype,https://blitzhype.com,DE,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers
easybook,https://easybook.fi,FI,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Onky.AI LTD,https://onky.ai,,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Ottia,www.ottia.com,Finland,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
Metroc,www.metroc.ai,Finland,Undisclosed,50,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
ADVOLVE AI ,https://advolve.ai/,BR,startup,50,Tier 3: Medium Priority,Rule 1: Platform Enablers
Thoughtful-Oasis,https://thoughtful-oasis.com/,NL,startup,50,Tier 3: Medium Priority,Rule 1: Platform Enablers
Clock&Cloud,https://www.clockcloud.ai/,FI,startup,50,Tier 3: Medium Priority,Rule 1: Platform Enablers
SalesCore Global Solutions Pte Ltd,https://www.salescoreglobal.com,SG,startup,50,Tier 3: Medium Priority,Rule 1: Platform Enablers
Polytope,https://polytope.com,SE,startup,50,Tier 3: Medium Priority,Rule 1: Platform Enablers
Novem,https://www.novem.io,NO,startup,50,Tier 3: Medium Priority,Rule 1: Platform Enablers
Fanavar Behineh Niroye Caspian company (FBNC),https://fbnc.co.ir,IR,Undisclosed,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
AIMSES AS,https://aimses.com/,NO,Undisclosed,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
Datavtar AI,https://buildit.datavtar.com,IN,Undisclosed,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
Epiminds,www.epiminds.com,Sweden,Undisclosed,49,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Abtrace,www.abtrace.com,United Kingdom,Undisclosed,49,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
HealthSage AI,www.healthsage.ai,Netherlands,Undisclosed,49,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Futuuri,https://futuuri.co/,FI,Undisclosed,49,Tier 3: Medium Priority,Rule 4: Health Innovations
Seerlinq,www.seerlinq.com,Slovakia,Undisclosed,49,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Together,together.ai,United States,Undisclosed,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
Remedi Finance,https://www.remedifinance.com,GB,startup,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
Lyfegen,https://www.lyfegen.com,CH,startup,49,Tier 3: Medium Priority,Rule 3: Insurance Solutions; Rule 4: Health Innovations
UniteLabs,https://unitelabs.io/,DE,startup,49,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
Dymension,https://dymension.systems/,IT,startup,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
Minimal App AB,https://minimalapp.co/,SE,startup,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
NanoChronia,https://www.nanochronia.com,ES,startup,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
Renessai,https://www.renessai.com/,FI,startup,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
DefendSphere,https://www.defendsphere.io/,ES,startup,49,Tier 3: Medium Priority,Rule 1: Platform Enablers
Tezbor,https://www.tezbor.com,US,Undisclosed,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
MARLVEL.AI,https://www.vibe-experimentation.ai,FR,Undisclosed,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
Trust in isotopes,https://www.trust-i2.com,FR,Undisclosed,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
Clay,https://www.clay.so/,GB,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
EyeVis GmbH,https://eyevis-med.com,DE,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Memgraph,https://www.memgraph.com,GB,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
Taivala,https://www.taivala.com,FI,startup,48,Tier 3: Medium Priority,Rule 3: Insurance Solutions
Cyber Insight,https://www.cyber-insight.de,DE,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Prognosis Sp. z o.o.,https://prognosis.pl,PL,scaleup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
Studiesin Technologies,https://www.studiesin.com,ES,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
JST Healthcare Solutions Oy,https://smartsymptomcheck.com,FI,startup,48,Tier 3: Medium Priority,Rule 4: Health Innovations
Pish Fannavaran Nourpazhouh Arta,https://www.nurarta.com,IR,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
AlbiCoins,https://albimarketing.com/employee-tech/,FI,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
AI Star,https://www.aistar.it,KR,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
Quvy,https://www.quvy.com/,US,scaleup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
Fides Innova Labs,https://www.fidesinnova.io,CA,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
FBNC (Soz Part),https://fbnc.co.ir/,IR,startup,48,Tier 3: Medium Priority,Rule 1: Platform Enablers
CCRAFT,www.ccraft.com,Switzerland,3 - Deploying,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
Wormsensing,wormsensing.com,France,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
IMENSUS,https://www.imensusresources.com/,DE,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
Atalante,https://www.atalantetechnologies.com,GB,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
Hypt,www.hypt.io,Switzerland,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Marble Imaging,marble-imaging.de,Germany,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
CyberWhiz IoT Cyber Security,cyberwhiz.co.uk,United Kingdom,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Deepentix,deepentix.com,Austria,Undisclosed,47,Tier 3: Medium Priority,Rule 3: Insurance Solutions
PeriVision,www.perivision.com,Switzerland,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Vespa,www.vespa.ai,Norway,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
Tot.,www.tot.money,Italy,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
Maira Labs,https://maira.one,DK,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Zenn Agents (Antler F25),https://zennagents.com,GB,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
WorkyBe,www.workybe.com,Turkey,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
FeHa International Consulting,feha.io,Netherlands,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Aisel Health,aisel.co,Denmark,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Compose Software,https://usecompose.com/,NO,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers; Rule 5: Dev & Legacy
Superscript,gosuperscript.com,United Kingdom,Undisclosed,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions; Rule 4: Health Innovations
PLAIO,https://plaio.com,IS,startup,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Fimo Health ,https://www.fimohealth.com,DE,startup,47,Tier 3: Medium Priority,Rule 4: Health Innovations
SmartDealer Technologies ,https://smartdealer.pk/,PK,startup,47,Tier 3: Medium Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
AI Soft Teknoloji,https://text2test.ai,TR,startup,47,Tier 3: Medium Priority,Rule 1: Platform Enablers
