id,name,website,shortDescription,billingCountry,billingCity,maturity,employees,totalFunding,currentInvestmentStage,dateFounded,is_enriched
45035,Mentionlytics,https://www.mentionlytics.com,"Mentionlytics is a robust Social Media Intelligence SaaS, with AI insights and analysis of the results. It will continounsly  scan the web and social media for mentions to your brand, competitors or t",GR,Crete,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45041,Kuori,https://www.kuori.tech,"Kuori is a fast-growing Finnish developer and manufacturer of industrial-grade display, touchscreen and software solutions, built to perform reliably in even the most demanding environments.
Founded i",FI,Espoo,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45042,Lake ,https://www.lakecoloring.com,Building one of the best coloring apps out there,SI,Ljubljana,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45044,Stroma Medical,https://www.stromamedical.com/,"Stroma Medical Corporation is a pre-revenue, clinical-stage medical device startup located in the United States. Stroma's patented laser technology is designed to reveal underlying natural eye colors,",US,Irvine,scaleup,Undisclosed,,Undisclosed,2009-01-01T00:00:00.000Z,
45046,Nano-Tech S.p.A.,https://italnanotech.com/,Nano-Tech is a deep-tech materials company pioneering the development and production of nano-engineered composite materials that withstand extreme temperatures (up to 600°C) while remaining ultra-ligh,IT,Ascoli pICENO,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45057,MyCena,https://mycena.co,"Billions are spent on cybersecurity every year to protect systems, not systems. Yet 90% of breaches start with people. This is due to a legacy design flaw that merged identity and access, causing peop",GB,London,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45062,"Singularity Energy Technologies, LLC (SET)",https://www.singularet.com,"Singularity Energy Technologies (SET) develops and deploys its patented Sandwich® Gasifier technology to convert municipal solid waste, plastics, and biomass into clean syngas for producing methanol, ",US,Grand Forks,scaleup,Undisclosed,,Undisclosed,2014-01-01T00:00:00.000Z,
45063,Epishine - photonic semiconductor film for ambient IoT,https://www.epishine.com,"Epishine: Printed photonic semiconductor film harvesting ambient light for self-powered IoT. 

**10 yrs R&D → patented roll-to-roll factory live. 
**Flagship customers incl. Google entering production",SE,Linköping,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45064,Spond AS,https://www.spond.com/no/,"Spond is an app designed to make it easier for groups, clubs, and organizations to manage their activities. It streamlines communication, helps with event planning, manages finances, and facilitates a",NO,Oslo,scaleup,Undisclosed,,Undisclosed,2012-01-01T00:00:00.000Z,
45067,Choicely,https://www.choicely.com,"Choicely’s platform offers the best tech stack for professional for creating native mobile apps. It consists of just rescently published S DK, Visual builderr and AI.
With Choicely's technology, one c",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45080,NoPalm Ingredients,https://www.nopalm-ingredients.com,"NoPalm Ingredients is the alt-fats company that brews sustainable fats by upcycling agri-food waste streams using fermentation technology.

NPI’s fats and oils are a true drop-in replacement:
- At pri",NL,Wageningen,scaleup,Undisclosed,,Undisclosed,2021-01-01T00:00:00.000Z,
45082,Synthesia,https://www.synthesia.io/,"Over 65,000 businesses, including more than 90% of the Fortune 100, use Synthesia to communicate efficiently and share knowledge at scale using AI avatars. Founded in 2017, Synthesia is headquartered ",GB,London,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45086,FindMyLost,https://www.findmylost.it/en/company/business.html,The first digital lost property tool for business and consumer. We’re on a mission to connect lost & found items with their owners in just one click leveraging our SaaS cloud-based software designed s,IT,Milan ,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45096,Supermetrics,https://supermetrics.com/,Supermetrics Unifies Your Marketing Data and Workflows to Drive Real Business Results,FI,HELSINKI,scaleup,Undisclosed,,Undisclosed,2010-01-01T00:00:00.000Z,
45114,OGOship,https://www.ogoship.com,"At OGOship, we're leading the way in transforming consumer e-commerce with advanced technology and a focus on consumer needs. Our goal is to become the go-to player in Europe in the e-commerce logisti",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45124,Husky Workplace Pensions & Savings,https://huskyfinance.com/,"We help employers choose, set up and run their pensions and we help employees maximise their pensions.",GB,London,scaleup,Undisclosed,,Undisclosed,2014-01-01T00:00:00.000Z,
45129,Glazed Solutions,https://www.glazedsolutions.com/,"Glazed is a team of elite web and mobile developers that has developed hundreds of apps for millions of users and some of the world’s largest companies.
We grow slowly and only hire the best in the bu",PT,Matosinhos,scaleup,Undisclosed,,Undisclosed,2011-01-01T00:00:00.000Z,
45145,Risto Reipas Oy,https://ristoreipas.fi,Risto Reipas is a platform company providing car transfer services in Finland and import transfer to Finland. We are able to transfer your car practically anywhere to everywhere inside Finland in appr,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2005-01-01T00:00:00.000Z,
45164,Aalbun,https://www.aalbun.com,Advanced IP and professional services globally,GB,Cambridge,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45177,Cuckoo Networks oy,https://cuckoo.fi/en/,"Cuckoo is building a cutting-edge data platform and a cross-platform application for wellbeing. We have turned workday wellness into an engaging game, which uses superior quality video content, data, ",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2014-01-01T00:00:00.000Z,
45196,"System Stone Co., Ltd",https://factorium.tech/,"System Stone develops Factorium and Jorpor Plus. Factorium boosts maintenance efficiency, while Jorpor Plus enhances safety management — driving smarter, safer factories.",TH,Bangkok,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45197,Jobilla Oy,https://www.jobilla.com/en/,Jobilla’s unique recruitment solutions help you reach the desired target group - No matter who they are or where they are through channels they are already on.,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45198,Sign on Tab,https://signontab.com/,We provide a biometric e-signature and digital consent platform that allows patients to review and sign medical documents directly on a tablet or computer. Our solution integrates with hospital inform,LT,Vilnius,scaleup,Undisclosed,,Undisclosed,2020-01-01T00:00:00.000Z,
45202,Linky Innovation srl,https://linkyinnovation.com/,"LINKY INNOVATION srl is an innovative Italian startup revolutionizing urban and last-mile travel by designing and manufacturing ultra-compact, sustainable electric mobility solutions. Our flagship pro",IT,Monte Vidon Corrado,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45203,AnotheReality,https://www.anothereality.io/en/,"Born as one of the first XR Studios in Italy specialized in VR Simulations and Games, AnotheReality over the years evolved into a software company specialized in interactive experience based products ",IT,Milan,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45206,Linio Biotech,https://www.linio-biotech.com,"Linio Biotech is developing a first-in-kind regenerative medical device for natural tissue augmentation, leveraging its proprietary Tience® technology. Our goal is to create a paradigm shift in aesthe",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45213,FlyNex,https://flynex.io,We provide automated infrastructure inspections to scale maintenance and repair operations for enterprise clients. Clients choose us because we provide an end to end solution of a complete data driven,DE,Leipzig,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45221,Fizix,https://fizix.ai/en/,"Fizix is an end-to-end smart machine health monitoring solution, designed to keep rising maintenance and energy costs under control. In line with Industry 4.0 and digitalisation trends, it enables mon",TR,Ankara,scaleup,Undisclosed,,Undisclosed,2022-01-01T00:00:00.000Z,
45246,PETE Technologies  GmbH,https://pete-ai.com,"PETE Technologies is redefining IT Service Management with AI. Our smart sidekick PETE turns overwhelming ITSM data into instant, actionable insights — in plain language, via chat. Instead of wasting ",DE,Essen,scaleup,Undisclosed,,Undisclosed,2020-01-01T00:00:00.000Z,
45277,Delft Circuits B.V.,https://delft-circuits.com/,Delft Circuits acclerates the quantum industry with enabling i/o. We solve the cabling challenge to enable large scale quantum computing. We have developed and sell our Cri/oFlex(R) i/o (cabling) prod,NL,Delft,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45290,AGL Inc.,https://www.aglgw.com/,"Through innovative technology and a commitment to global accessibility, AGL continues to lead the modernization of the golf travel and tee-time distribution ecosystem.",KR,Seoul,scaleup,Undisclosed,,Undisclosed,2019-01-01T00:00:00.000Z,
45294,Quicksave Interactive,https://www.quicksave.fi,"AI assisted vibe creation toolkit for interactive ads and interactive experiences. Interactive ads work 3x better than video ads, but have been expensive and laborous to create.


",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45305,Gogolook,https://www.gogolook.com/,"Gogolook is a leading TrustTech company established in 2012. With ""Build for Trust"" as its core value, expanding its business from Asia to Europe and America. Gogolook’s AI technology is built on the ",TW,"6F, No. 319, Section 2, Dunhua South Road, Da’an District, Taipei City 106, Taiwan",scaleup,Undisclosed,,Undisclosed,2012-01-01T00:00:00.000Z,
45316,Starberry Games,https://www.starberry.games,"StarBerry Games is an award winning mobile games studio based in Berlin.  
StarBerry aims to craft genre leading games by combining new with familiar to create unique gameplay experiences.
With a team",DE,Berlin,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45320,Innomost Oy,https://www.innomost.com/,Innomost provides fossil-free high-value active ingredients for the chemical industry. We transform birch bark side streams into high-performance Betulin and Suberin using our patented production tech,FI,Kokkola,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45324,Toya ,https://www.toyaplay.com/,"Toya is an award-winning Roblox studio seamlessly connecting communities, platforms, and brands through immersive digital experiences. As an Official Brand Partner of Roblox, Toya is the creative forc",IL,Tel Aviv,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45328,Alfreð ehf,https://alfred.is/,Alfred is Iceland's most popular job search app for job seekers and employers alike. Alfred simplifies the process of posting job ads and searching for employment. A user-friendly interface and real-t,IS,Reykjavík,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45329,LifeTaq-Analytics GmbH,https://lifetaq.com/,LifeTaq's main product is the Tissura system. An all-in-one automated solution for on-demand production of industry-validated 3D human tissue models - enabling pharma and preclinical CROs to replace p,AT,Klosterneuburg,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45332,IQM Quantum Computers,https://www.meetiqm.com,IQM is a global leader in superconducting quantum computers. IQM provides both on-premises full-stack quantum computers and a cloud platform to access its computers. IQM customers include the leading ,FI,Espoo,scaleup,Undisclosed,,Undisclosed,2018-01-01T00:00:00.000Z,
45348,Master English Ltd,https://www.masterenglish.com,"Master English is an app for adults who want to achieve advanced English language skills to advance in their careers. The app is based on AI avatars, other AI technologies, and individual optimization",FI,Tampere,scaleup,Undisclosed,,Undisclosed,2009-01-01T00:00:00.000Z,
45351,Monidor Oy,https://monidor.com/,Monidor is a Finnish healthtech company focused on smart remote patient monitoring (RPM) for hospitals and home care. We offer a certified (MDR Class IIa/b) platform that uniquely integrates IV infusi,FI,Oulu,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45352,Sharetribe,https://www.sharetribe.com,We build marketplace software for founders. Launch a marketplace in a day without coding. Extend infinitely with code. Scale to any size.,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2011-01-01T00:00:00.000Z,
45377,Stokkur Software,https://www.stokkur.is/en,"We create meaningful software, apps, platforms and systems that simplify life, strengthen businesses and stand the test of time. Our work spans from strategic consulting to full-scale development and ",IS,Reykjavík,scaleup,Undisclosed,,Undisclosed,2007-01-01T00:00:00.000Z,
45385,Prognosis Sp. z o.o.,https://prognosis.pl,"Prognosis Sp. z o.o. is a company dedicated to providing innovative energy management solutions for businesses. Since our establishment in 2016, Prognosis has consistently driven forward-thinking appr",PL,Suwalki,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45386,Inscripta Oy,https://inscripta.io,"Inscripta is a technology company that sells speech recognition services for the social- and healthcare industry. We are guaranteeing accuracy, strictest data privacy, and scalability.",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45394,Sooma Medical,https://soomamedical.com/,Sooma Medical offers hope to 350 million patients suffering from major depressive disorder each year. Our mission is to help solve one of the majore problems in mental health care that is access to ca,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2013-01-01T00:00:00.000Z,
45402,Docue Technologies Oy,https://docue.com/en-gb,"Docue delivers a unique embedded legal engine that transforms any business software into a contract automation platform, combining lawyer-drafted compliance with seamless integration. Docue’s globally",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45417,smeGo,https://smego.com/,"As a fully licensed European digital-first bank and fintech, smeGo is dedicated to empowering the underserved small and medium-sized enterprises sector in Europe, with innovative daily banking and cre",NL,Amsterdam,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45425,xorlab AG,https://www.xorlab.com/en/,xorlab protects enterprises from sophisticated never-seen-before threats with its email security platform built for security analysts and detection engineers. It lets you build and manage advanced det,CH,Zurich,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45431,Bookboost AB,https://www.bookboost.io,"Bookboost is a VC-backed hospitality CDP and CRM that unifies guest data to help hotel groups manage communication efficiently and deliver personalized experiences at scale. Launched in 2021, the comp",SE,Malmö,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45457,Wales Interactive,https://www.walesinteractive.com/,"Wales Interactive is a multi-award winning indie Video Games & Interactive Film Developer & Publisher & Investor. As well as creating our own in-house titles, we have evolved into a publishing label c",GB,Penarth,scaleup,Undisclosed,,Undisclosed,2011-01-01T00:00:00.000Z,
45461,MeetingPackage,https://meetingpackage.com/,"MeetingPackage - The all-in-one sales automation platform that helps event venues and hotels to fully digitise their group and meeting/event sales. 

MeetingPackage is trusted by global hotel chains s",FI,Espoo,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45470,AsedaSciences,https://www.asedasciences.com/,"AsedaSciences® is transforming chemical safety risk assessment with 3RnD®, a next-generation, cloud-based SaaS platform that combines AI, human-cell–based testing, and dynamic data visualization, to h",CH,Zurich,scaleup,Undisclosed,,Undisclosed,2012-01-01T00:00:00.000Z,
45475,LIG Nex1,https://www.lignex1.com/eng/main.do,"LIG Nex1 is South Korea’s leading advanced defense technology company, specializing in the research, development, and production of cutting-edge weapon systems across air, land, sea, and space domains",KR,Seoul,scaleup,Undisclosed,,Undisclosed,1976-01-01T00:00:00.000Z,
45477,Great Shift,https://www.great-shift.com/,"Provides workshop-ready frameworks covering strategy, operations & people to elevate performance.",EE,Tallin / Tirana,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45488,PureIMS,https://pureims.com/,"
PureIMS is a clinical stage pharmaceutical company focused on developing and commercializing innovative inhaled therapies, based on its proprietary dry powder inhaler Cyclops®. The focus is on the tr",NL,Roden,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45489,Blykalla,https://www.blykalla.com,Develop next-generation SMRs (small modular nuclear reactors),SE,Stockholm,scaleup,Undisclosed,,Undisclosed,2013-01-01T00:00:00.000Z,
45498,Riverty ,https://www.riverty.com/de/business/unternehmen/ueber-uns/,"Riverty offers flexible payment solutions, invoicing services, and financial management tools to help businesses optimize their cash flow and improve customer experience.",DE,Verl,scaleup,Undisclosed,,Undisclosed,2014-01-01T00:00:00.000Z,
45518,Ntention AS,https://ntention.com/,"Ntention is revolutionizing human-robot interaction by leveraging sensor technology and eXtended Reality (XR) to create intuitive interaction systems, starting with astronauts.",NO,Oslo,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45522,Aadrila Technologies Private Limited,https://www.aadrila.com/,Aadrila Technologies is building AI-first solutions that help insurers and financial institutions streamline operations and elevate customer experiences. Our platform spans across four key areas: clai,IN,Mumbai,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45531,Smartly,https://www.smartly.io/,"As a leader in AI-powered creative and campaign innovation, Smartly helps you to transform your advertising with our Creative, Media and Intelligence suites. Build and enhance design with our powerful",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2013-01-01T00:00:00.000Z,
45539,Scantrust BV,https://www.scantrust.com,"Scantrust offers companies the tools they need to protect their brand, establish supply chain awareness via traceability, meet regulatory compliance on product disclosure (e.g. DPP, FSMA 204, etc.) an",NL,Amsterdam,scaleup,Undisclosed,,Undisclosed,2014-01-01T00:00:00.000Z,
45559,ISDI Ltd,https://www.isdicmos.com,"ISDI offers CMOS X-ray detectors for medical, industrial and scientific applications. ISDI also designs and manufactures CMOS image sensors and other ASICs for the detection of X-rays, visible light, ",GB,London,scaleup,Undisclosed,,Undisclosed,2010-01-01T00:00:00.000Z,
45567,Yapily,https://www.yapily.com/,"We are te leading Open Banking platform in UK and Europe,",GB,London,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45581,Together AI,https://www.together.ai/,"Together AI is built for AI engineers and researchers — with a full suite of tooling across model training, fine-tuning, and inference. AI native app builders can reliably scale their apps to meet dem",US,San Francisco,scaleup,Undisclosed,,Undisclosed,2022-01-01T00:00:00.000Z,
45587,Kuva Space Oy,https://www.kuvaspace.com/,Kuva Space empowers every decision-maker with actionable planetary intelligence via breakthrough space and AI technology,FI,Espoo,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45591,1000PS Internet GmbH,https://www.1000ps.com,"1000PS is Europe's leading motorcycle tech platform, reaching 6 million enthusiasts monthly across 40 markets. It leverages AI and big data to power 1800+ dealer websites, manage a comprehensive motor",AT,Wiener Neustadt,scaleup,Undisclosed,,Undisclosed,2001-01-01T00:00:00.000Z,
45598,TactoTek,https://www.tactotek.com,"Automotive, connected home, industrial control and medical brands use TactoTek innovations to create next-generation user experiences that are compelling, differentiated, and more sustainable. Designe",FI,Oulu,scaleup,Undisclosed,,Undisclosed,2011-01-01T00:00:00.000Z,
45602,Kamerastore.com,https://kamerastore.com,"Kamerastore is a growing (+12M€ ARR) scale up spreading globally from Finland through the recommerce of photographic tools: Selling online the cameras and lenses almost everybody has unused at home. 
",FI,Tampere,scaleup,Undisclosed,,Undisclosed,2010-01-01T00:00:00.000Z,
45625,Wonderz GmbH,https://www.wonderz.eu,"Wonderz is the only B2B SaaS platform empowering digital content creators to build unique fan hubs through custom apps — covering videos, games, merch, education, live events, & more. Our no-code tech",DE,Berlin,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45655,CodeNicely,https://codenicely.in/,"CodeNicely helps startups in building world class software products for B2B, B2C segment across multiple domains. ",IN,Raipur,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45671,"Freshbell Co., Ltd.",https://freshbell.co.kr/about,"Freshbell is redefining how people experience health.
We turn functional supplements into joyful daily rituals starting with our signature collagen jelly stick.
Unlike traditional pills or powders, ou",KR,Yeongcheon,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
45678,Toucan ,https://www.toucantoco.com/en/,"Strong growth for a software company

Toucan is a customer-facing analytics platform that empowers companies to drive engagement with data storytelling. With the best customizable end-user experience ",FR,Paris,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45684,KappaZeta,https://kappazeta.ee/,Extracting information out of satellite data.,EE,Tartu,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45685,Sellforte,https://sellforte.com/,"Tesla invented self-driving cars. Sellforte is inventing self-driving media buying. We are a profitable and fast-growing SaaS at €3.6M ARR, serving eCommerce, DTC & Retail brands like Lidl, C&A, and R",FI,Espoo,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
45693,Pytek,https://pytek.bg/bg/,Pytek Ltd. is a Bulgarian-based software engineering company that partners with clients to transform ideas into full-scale digital solutions.,BG,SOfia,scaleup,Undisclosed,,Undisclosed,2018-01-01T00:00:00.000Z,
45694,BeiZ,https://lolapanda.com/,BeiZ & Lola Panda team help children learn to read in funniest way. Our Lola's Learningland solution is a complete program based on our popular Lola Panda apps. These apps have over 40 million downloa,FI,Tampere,scaleup,Undisclosed,,Undisclosed,2010-01-01T00:00:00.000Z,
45702,Enqura,https://www.enqura.com/,"Enqura is transforming the financial sector through the power of AI. Our AI-Driven Fintech platform delivers an end-to-end solution, from onboarding new customers to providing seamless access to a ful",TR,Istanbul,scaleup,Undisclosed,,Undisclosed,2014-01-01T00:00:00.000Z,
45718,Eventz.today,https://go.townbase.com,Best in class B2C App and B2B PaaS Platform for events discovery in Europe,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45729,Entrepreneurship Exchange - EEX Oy,https://www.eexglobal.com/,EEX challenge corporate leaders of biggest European companies to work as advisors for sustainable startups – out of their box and comfort zone.  Globally unique learning innovation EEX Journey engages,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45744,Vapaus.io,https://vapaus.io,The winner of 2023 European Startup Prize for Mobility. Decarbonization of transportation and scaling tech is at the heart of Vapaus. We are scaling up fast in employee benefit bikes in Finland and ex,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2018-01-01T00:00:00.000Z,
45781,Causalytics,https://causalytics.ai,"Causalytics pulls ideas from your expertise, turns them into ready-to-post content, and keeps you on a simple rhythm that builds trust and sparks client conversations.",FI,Turku,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
45807,ThingLink,https://www.thinglink.com,"ThingLink transforms learning environments from static to interactive by enhancing physical and virtual spaces with a layer of digital information.

ThingLink’s new AI-powered creation flow converts t",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2010-01-01T00:00:00.000Z,
45810,PrivacyDesigner,https://privacydesigner.com/en,"Se offer Compliance-, Risk- and Regulation management SaaS platform ideal for heavily regulated customers in both private & public industry.",FI,Joensuu,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
