name,website,country,maturity,score,tier,matched_rules
Cardiolyse Heart Health AI,https://www.cardiolyse.com,FI,startup,66,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
distil labs,https://distillabs.ai/,DE,startup,65,Tier 2: High Priority,Rule 1: Platform Enablers
Merge.dev,https://www.merge.dev,US,startup,65,Tier 2: High Priority,Rule 1: Platform Enablers
Synthflow AI,https://synthflow.ai/,DE,startup,65,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Nordics,https://www.nordics.io/,SK,startup,64,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Detectivio AB,https://www.detectivio.com/,SE,startup,63,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
easybits GmbH,https://easybits.tech/,DE,startup,63,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Albimarketing Oy,https://albimarketing.com/,FI,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers
Flexora,https://www.flexora.com,DE,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers
Danvantar Biophotonics,https://www.danvantar.com,FI,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Hyphorest,https://hyphorest.com,DE,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers
Elixion Medical,www.elixionmedical.com,Germany,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
ConfidentialMind,www.confidentialmind.com,Finland,Undisclosed,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
Bravin AI,https://www.bravin.io/en,MD,startup,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Tiplo,https://tiplo.ai/,GB,startup,62,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
CyberSmart,www.cybersmart.co.uk,United Kingdom,Undisclosed,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Compliance Consulting Operations GmbH,https://compliance-co.com,,Undisclosed,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
AureliaX,https://www.gomia.ai,NL,startup,61,Tier 2: High Priority,Rule 1: Platform Enablers
"Surg storage Co., Ltd.",https://www.surgstorage.com/,JP,startup,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
AISTUDIO,https://aistudio.com.tr/,TR,startup,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers; Rule 4: Health Innovations
Vindi Biosystems,https://www.vindibiosystems.com/,NL,startup,61,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Icarus,https://icarustechnology.it,IT,Undisclosed,60,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Cognovo Oy,https://www.cognovo.io,FI,Undisclosed,60,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
AIHI (AI for Humanitarian Impact),https://aiforhumanitarianimpact.org/,GB,Undisclosed,60,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
MicroAGI,www.microagi.ai,Germany,Undisclosed,60,Tier 2: High Priority,Rule 1: Platform Enablers
Flow Technologies,https://flowzone.eu,NO,startup,60,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
