Company Name,Confidence,Website,Industry,Top Keywords,B2B Indicators,Description
BEYLA,80,https://www.beyla.ai,ai,"agentic ai, agentic","api, infrastructure",BEYLA is building Fintech 3.0. A new class of financial infrastructure designed to outpace both trad
Me Protocol,80,https://meprotocol.io,ai,"ai agent, agentic","platform, infrastructure",Me Protocol is the Rewards Layer for the AI Economy . Our award-winning universal rewards infrastruc
Chapter.works,80,https://www.chapter.works,energy,"agentic ai, agentic","platform, api",Chapter is a European software company building Agentic AI for the energy sector — AI that acts like
Cheqd,80,https://cheqd.io/,ai,"ai agent, agentic","platform, infrastructure","cheqd is building trust, reputation, and compliance infrastructure for AI Agents, allowing individua"
Quartal Accounting Software Oy,80,https://www.quartal.com/,fintech,"ai agent, intelligent agent","saas, platform","We are a Finnish White label Financial Management Software with AI focus.

Our goal is to redefine t"
AI-Manager,80,,enterpriseSoftware,"ai agent, agentic","enterprise, platform",AI-Manager aims to be the number one platform in the world to enable independent operation of virtua
Syncable,80,https://syncable.dev,ai,"agentic ai, agentic","saas, platform",A deep-tech SaaS platform that makes software deployment fully autonomous. Our Agentic AI deployment
KINETK,80,https://www.kinetk.ai/,ai,"agentic ai, agentic","platform, infrastructure",AI-powered content tracking solutions
TRIPSO.AI,80,https://www.tripso.ai/en,ai,"ai agent, agentic","b2b, platform","Tripso.ai is building the AI operating system for tourism — a platform similar to Claude/MCP, but pu"
BreezeMove ,80,https://www.breezemove.co.uk/,propConstruction,"agentic ai, agentic","enterprise, saas",Property transaction management platform
Co-one,75,https://www.co-one.co/,ai,"large language model, agent builder, autonomous agent","enterprise, platform","Co-one provides an AI evaluation platform that continuously measures and improves the accuracy, reli"
MCP-Builder.ai,70,https://mcp-builder.ai,ai,"enterprise ai, ai agent","enterprise, saas",AI agent creation platform
Maira Labs,70,https://maira.one,ai,"agentic ai, agentic",platform,AI-powered media monitoring platform
GLOBEZERO.AI,70,https://www.globezero.ai,ai,"agent system, ai agent",enterprise,AI-driven decarbonization solutions provider
Synera,70,https://www.synera.io,ai,"multi-agent, ai agent",platform,Process Automation for Engineers
Wilgot,70,https://wilgot.ai,ai,"ai agent, agentic",platform,AI-driven product optimization platform
Opper AI,70,https://opper.ai,ai,"ai agent, agentic",api,We provide a frontier AI API for reliable and repeatable model interactions to allow businesses to s
Eka Labs AI,70,https://eka-labs.com/,ai,"enterprise ai, ai agent","enterprise, platform",Sovereign AI web intelligence platform
LAYONARDO,70,https://www.layonardo.com/home,ai,"agentic ai, agentic",platform,LAYONARDO develops software that detects AI-generated deepfakes and visual AI content to combat frau
AdsGency AI,70,https://adsgency.ai,ai,"ai agent, agentic",platform,AI-driven advertising automation platform
miaPOS,70,https://miapos.md/,fintech,"agentic ai, agentic",platform,"miaPOS enables banks to launch instant payment acquiring in weeks, turning A2A rails into merchant r"
Oraion,70,https://www.oraion.com/,ai,"agentic ai, agentic",platform,AI-driven data analysis platform
Alpha Base,70,https://www.thealphabase.com/platform,ai,"multi-agent, ai workflow, llm",platform,"Today, AI workflows are about automation. This makes companies faster and more efficient. But automa"
Codika,65,https://www.codika.io,ai,"process automation ai, ai agent","platform, api",AI-driven business process automation
AISTUDIO,65,https://aistudio.com.tr/,ai,"rag, digital worker, ai agent",enterprise,"AI STUDIO puts AI Agents first: cloud-native digital workers that greet users, triage emergencies, s"
Bravin AI,65,https://www.bravin.io/en,ai,"ai automation, ai agent","enterprise, platform",Bravin AI - Omnichannel AI Automation Platform. Bravin.io is an advanced artificial intelligence pla
Return Entertainment,65,https://returnentertainment.com/,gaming,"agentic ai, rag, agentic",,"Return Entertainment creates cloud-native games tailored for casual and mid-core gamers, leveraging "
Measmerize,65,https://www.measmerize.com,ai,"rag, agentic, b2b ai",b2b,AI-powered fashion size recommendations
Kiku,65,https://www.getkiku.com/,ai,"agentic ai, rag, agentic",,We leverage agentic AI to streamline talent acquisition workflows for high volume frontline hirers. 
Zencoder,65,https://zencoder.ai/,ai,"enterprise ai, autonomous workflow","enterprise, platform",Enterprise AI platform for software automation.
Ikon AI,60,https://www.ikonai.com,ai,"agentic ai, agentic",,AI solutions for real-time business insights.
Fifteen AI,60,https://www.thefifteenai.com/,ai,"multi-agent, agent system",,"We replace e-commerce teams/ operation BPOs with an autonomous multi-agent system that senses, acts "
Mues AI,60,https://mues.ai,ai,"agentic ai, agentic",,Mues AI - The Software Interaction Company. Its core innovation is an agentic AI cursor companion th
Raport,60,https://www.raport.health,health,"large language model, rag, nlp","platform, for organizations",AI-driven healthcare workflow automation
Aadrila Technologies Private Limited,60,https://www.aadrila.com/,fintech,"underwriting automation, workflow orchestration",platform,Aadrila Technologies is building AI-first solutions that help insurers and financial institutions st
PayStorm AI,60,https://paystorm.ai,fintech,"ai agent, agentic",,AI-driven accounts receivable automation
Klever Sustainability Oy,60,https://klever.earth,fintech,"agent system, ai agent",,Sustainability data retrieval services
AGAi,60,https://www.bodenpapst.de,ai,"rag, agentic, generative ai","b2b, platform","AGAi offers 'Frag den Bodenpapst,' a generative AI-powered platform designed to support farmers, agr"
GLBNXT,60,https://www.glbnxt.com,ai,"llm, agentic, generative ai","enterprise, platform",Modular AI development platform
Aris Machina,60,https://www.arismachina.com,ai,"multi-agent, agentic",,Aris Machina is building the Agentic OS for Generative Manufacturing — an operating system that conn
QA DNA,55,https://qadna.co,ai,"rag, ai agent","saas, platform",Software testing and automation services
TELMA AI,55,https://telma.ai/,fintech,"llm, agentic","enterprise, platform",Conversational intelligence platform for automation.
Grapevine,55,https://www.grapevine.travel/,travel,"agent system, rag","b2b, platform","Grapevine leverages AI to deliver personalized offers for business travelers, partnering with travel"
Lintu.ai,55,https://lintu.ai/,ai,"ai automation, ai agent",platform,AI automation platform with self-improving agents that learn    and adapt to streamline team workflo
TidyCalls,55,https://tidycalls.com,ai,"rag, ai agent","enterprise, saas",AI virtual receptionist service
Simplifai,55,https://www.simplifai.ai/,ai,"ai automation, ai agent",enterprise,AI automation for insurance processes
TimeFlow,55,https://www.timeflow.it,enterpriseSoftware,"autonomous agent, generative ai","enterprise, saas",Networking platform for IT supplier management.
Engrate,55,https://www.engrate.io ,energy,"rag, ai agent","platform, api",AI-native energy integration platform
Renessai,55,https://www.renessai.com/,ai,"llm, agentic","api, infrastructure",Renessai is a European AI lab solving organizations' hardest strategic problems through deep technic
DeepLife,50,https://www.deeplife.co,biotech,"rag, deep learning","saas, platform",DeepLife provides a SaaS platform leveraging deep learning and multi-omics data to simulate cell beh
METERD ,50,https://meterd.eu,energy,ai agent,"saas, platform",AI-powered energy monitoring software
EVERYANGLE,50,https://www.everyangle.ai,ai,ai agent,"platform, infrastructure","Running a multi-store retail network means you need clear, consistent visibility into how every loca"
CarriedAI,50,https://www.carriedai.com/,enterpriseSoftware,ai agent,"enterprise, api",AI investment management tools suite
Foxtery,50,https://www.foxtery.com/,enterpriseSoftware,autonomous agent,"enterprise, platform","Foxtery builds the zero-time infrastructure for corporate learning and knowledge transfer.

Our AI p"
SOCLY.io,50,https://socly.io/,regtech,ai agent,"saas, platform",SaaS platform for monitoring and managing.
Mabel,50,https://meetmabel.com,ai,agentic,"platform, api",Mindful microdosing program for women's wellness
Cadentia Technologies,50,https://cadentia.ai/,enterpriseSoftware,ai agent,"enterprise, platform","Cadentia Technologies is a Finnish AI company building AI companions for meaningful brands. 

Our pl"
Tilit,50,https://tilit.ai/en,enterpriseSoftware,ai agent,"enterprise, platform",We're building an AI-powered cloud accounting platform that achieves the highest level of automation
EvidenceHunt,50,https://evidencehunt.com/,ai,agentic,"platform, professional",AI-powered medical research platform
PromoRepublic,50,https://promorepublic.com/en/,marketingAds,agentic,"saas, platform",AI-driven multi-location marketing platform
ConfidentialMind,50,https://www.confidentialmind.com/,enterpriseSoftware,"rag, llm, generative ai","enterprise, platform",AI platform for customizable machine learning.
co.brick ,50,https://www.cobrick.com,manufacturingMaterials,multi-agent,"enterprise, platform",Industrial operations observability platform
Valo.ai,50,https://valo.ai/,enterpriseSoftware,ai agent,"enterprise, platform",AI-driven Salesforce administration platform
Vespa.ai,50,https://vespa.ai/,ai,"enterprise ai, rag, llm","enterprise, platform","Vespa.ai is a platform for developing and running large-scale enterprise AI applications, using big "
Yasu,50,https://yasu.cloud,enterpriseSoftware,ai agent,"enterprise, platform",Yasu is an AI-powered platform that helps companies reduce cloud spend by over 40% through AI agents
XSUPRA GmbH ,50,https://xsupra.io,agriTech,ai agent,"platform, professional",Xsupra develops an AI co-pilot for professional arable farms. Farmers today face overwhelming amount
Earthian AI,50,https://earthianai.com/,fintech,intelligent agent,"b2b, enterprise",Earthian AI is a global leader in AI-native infrastructure for the property and casualty (P&C) insur
PharosBio,50,https://www.pharos.bio/,ai,"neural network, llm","platform, api",AI-driven decision-support for life sciences
Honu AI,50,https://www.honu.ai,ai,ai agent,"saas, infrastructure",Honu is pioneering the full-stack of an autonomous company. Honu is an engine for creating and scali
G-Gravity,50,https://www.g-gravity.it,lifeSciences,intelligent agent,"enterprise, platform",Sustainable innovation through deep-tech ecosystem.
Amaizing,50,https://amaizing.io,ai,ai agent,"platform, professional",AI-powered e-commerce growth platform
Rubberduck AI Oy,50,https://rubberduck.live,ai,agentic,"enterprise, platform",AI-driven data project orchestration platform
AI Soft Teknoloji,50,https://text2test.ai,ai,"rag, generative ai","enterprise, platform","AI Soft Teknoloji A.Ş. is the Turkish affiliate of Text2Test Corporation (Delaware, USA), a company "
Smabbler,50,https://smabbler.com,ai,"rag, llm","enterprise, infrastructure",Provider of explainable AI memory systems
Pandatron,50,https://pandatron.ai/,enterpriseSoftware,ai agent,"enterprise, fortune 500",AI-driven leadership and teamwork coaching.
Farang AB,50,https://farang.com/,ai,"large language model, llm, rag","b2b, enterprise","Farang delivers disruptive, specialized and easy to use foundational LLMs (Large Language Models) to"
Solace Care,50,https://solace.care/,fintech,ai agent,"platform, api",Digital end-of-life planning platform
Peaka,50,https://www.peaka.com,analytics,ai agent,"enterprise, platform",Zero-ETL data integration platform
easybits GmbH,50,https://easybits.tech/,ai,ai agent,"platform, api","Easybits is a schema-first, open-source data extraction platform built for regulated industries. Fas"
Mapo Tapo,50,https://www.mapotapo.com/,sports,ai agent,"b2b, platform",Adventure travel experiences provider
Cyberday Inc,50,https://cyberday.ai,cyber,agentic,"saas, platform",Cyberday is a Finnish AI-driven SaaS company that helps organizations manage cybersecurity complianc
Agaton,50,https://www.agaton.ai,ai,ai agent,"enterprise, enterprise-grade",Agaton is building Enterprise-grade AI Agents purpose-built for sales organisations powered by predi
Emendu,50,https://emendu.com/,enterpriseSoftware,ai agent,"enterprise, saas","There are over 24 million SMBs in Europe, and 93% of them don’t have an internal IT department. Yet,"
Voiseed,50,https://www.voiseed.com/,ai,agentic,"b2b, corporate",AI-based expressive voice creation tool.
Klaaryo,50,https://klaaryo.com/en/,ai,ai agent,"enterprise, platform",AI-powered recruitment automation platform
Microtica,50,https://www.microtica.com/,enterpriseSoftware,ai agent,"enterprise, infrastructure","AI agents that build your infrastructure, deploy your apps, resolve your incidents, and optimize you"
Synthflow AI,50,https://synthflow.ai/,ai,ai agent,"enterprise, platform","
Synthflow AI is a no-code platform for deploying voice AI agents that automate phone calls across c"
Noteless AI,50,https://www.noteless.com/,ai,"large language model, llm","platform, professional",AI medical note-taking platform
StepHow Inc.,50,https://www.wissly.ai,ai,"rag, llm","saas, api","StepHow operates “Wissly,” an AI RAG Agent that automates document tasks such as search, analysis, a"
Yugo,50,https://www.yugo.finance/,fintech,ai agent,"api, infrastructure","Yugo is building an AI Agent ready, smart, compliant payment infrastructure that connects banks, blo"
publyc,50,https://publyc.app/,marketingAds,ai agent,"b2b, corporate","Publyc provides AI-powered LinkedIn marketing automation for B2B founders, enabling them to build pe"
WiseBee,45,https://wisebee.ai,cyber,"ai agent, llm",platform,WiseBee democratizes threat intel with real-time actionable insights powered by AI agents. Our platf
NOKUMO SERVICES d.o.o.,45,https://www.nokumo.net/en,travel,automated workflow,"saas, platform","Nokumo is a SaaS hospitality stack combining PMS, channel manager and direct-booking engine to lift "
WorkyBe,45,https://www.workybe.com/,ai,"rag, ai agent",platform,AI-powered sustainability management platform.
ReplyFabric,45,https://replyfabric.ai,ai,"rag, ai agent",platform,ReplyFabric streamlines shared inbox management with AI agents that handle the routine so teams can 
PaxFlow,45,https://paxflow.io,travel,automated workflow,"platform, infrastructure","Tour operators still manage logistics with spreadsheets, WhatsApp groups, phone calls and guesswork "
Nordics,45,https://www.nordics.io/,ai,workflow automation,"enterprise, saas",Nordics addresses a critical blind spot in enterprise technology spending: IT services procurement. 
Zibra AI Inc.,45,https://zibra.ai/,enterpriseSoftware,ai workflow,"enterprise, infrastructure",Zibra is building the infrastructure layer for spatial data processing - enabling efficient compress
NAVE TECH,45,https://www.nave-tech.com/,energy,workflow automation,"b2b, saas",Engineering workflow automation platform
summie,45,https://summie.co,enterpriseSoftware,automated workflow,"enterprise, platform",summie is building the future of financial administration. We connect accountants and their SME clie
Muves,40,https://muves.io,ai,ai agent,platform,AI research management platform
Sweeply,40,https://getsweeply.com/,travel,intelligent agent,platform,"Sweeply is a smart operations platform that helps hotels run smoother, smarter, and more sustainably"
Ultimate,40,https://www.ultimate.ai,enterpriseSoftware,ai agent,enterprise,AI Agents for customer service
Atarino,40,https://atarino.io/home,media,ai agent,professional,AI-powered travel voice companion
Manus AI,40,https://manus.im/,ai,ai agent,platform,Autonomous AI task execution platform
Clarisign,40,https://www.clarisign.ai,legal,ai agent,platform,AI-powered contract automation platform
Shook Digital,40,https://shook.digital,media,ai agent,platform,Shook is addressing a fundamental challenge brands face in media today. While the high video content
isLucid,40,https://islucid.com,enterpriseSoftware,agentic,enterprise,AI-driven customer interaction solutions
Marqea,40,https://marqea.com/,ai,multi-agent,platform,Autonomous marketing automation platform
GoAudience,40,https://www.goaudience.com,ai,ai agent,platform,AI-driven marketing solutions provider
Supernomial,40,https://www.supernomial.co,fintech,agentic,platform,Customizable transfer pricing software
Nalvin,40,https://www.nalvin.com/,enterpriseSoftware,ai agent,enterprise,AI assistant for product managers
NinaData.io,40,https://ninadata.io/,marketingAds,agentic,api,NinaData has developed a GenAI-powered Buying Intent data engine specifically for the digital advert
manteo.ai,40,https://manteo.ai,analytics,ai agent,infrastructure,AI assistant for Earth Observation
QA.tech ,40,https://qa.tech/,enterpriseSoftware,ai agent,enterprise,AI agents for QA testing
Autonomous Minds,40,https://autonomousminds.ai,ai,agentic,platform,AI-driven conversational BI platform
Cogniflow,40,https://cogniflow.nl/,somethingElse,ai agent,platform,AI-driven sales automation solutions
One StepS,40,https://onesteps.co.jp/,ai,ai agent,platform,AI platform for impactful product development.
RAE.,40,https://www.wearerae.com/,fintech,"ai underwriting, rag",platform,"RAE is a next-generation InsurTech that provides personalised, data-driven insurance powered by AI u"
Usable,40,https://usable.dev,ai,ai agent,platform,"Shared memory for developer teams. Embedded in the AI agent loop in e.g. Cursor. Capturing, structur"
Mood: Music of our desire,40,https://www.musicofourdesire.com/,musicEntertainment,agentic,api,Mood is building the global ticketing layer: an instantly scalable app where Gen-Z fans discover con
ETERNY,40,https://www.eterny.io/about-us,fintech,ai agent,platform,Comprehensive wealth management platform
Lightpost One,40,https://lightpost.one,ai,ai agent,platform,AI-driven collaborative workspace platform
Spinal,40,,ai,ai agent,infrastructure,AI agent financial infrastructure provider
NABU,40,https://www.NabuTech.eu,regtech,ai agent,api,AI-driven KYC solution provider
Codesdevs,40,https://www.codesdevs.io/,ai,ai agent,for companies,"At CodesDevs, we help businesses unlock the full potential of artificial intelligence through tailor"
Invest AIQ,40,https://investaiq.com,fintech,ai agent,platform,AI-powered stock trading platform
Wolttinen Oy,40,https://www.wolttinen.fi,energy,"rag, automated workflow",saas,"Develops EV charging back-office software that optimizes spot pricing, integrates renewable energy, "
Cobey AI,40,https://www.cobey.ai/,ai,ai agent,for business,AI agents for business automation
Matillion,40,https://www.matillion.com/,ai,agentic,platform,Master data integration platform
WITTARIO AS,40,https://www.wittario.com,edu,ai agent,platform,Wittario is an Edtech/ AI scaleup based in Norway. We have built a game based learning platform that
Epiminds,40,https://www.epiminds.com,ai,ai agent,platform,AI-driven marketing automation platform
ClickHouse,40,https://clickhouse.com/,analytics,ai agent,platform,"ClickHouse is a fast, open-source columnar database management system built for real-time data proce"
Black Crow AI,40,https://www.blackcrow.ai/,ai,ai agent,platform,Black Crow AI uses streaming browser data to train AI models that deliver real-time e-commerce predi
Sointu,40,https://sointu.ai,ai,ai agent,enterprise,"We automate customer service for Automotive Enterprises with Voice AI.

Car dealerships receive +10k"
Remedi Finance,35,https://www.remedifinance.com,fintech,"rag, agentic",,"Remedi is the new payment standard for the $160B medical tourism market, slashing cross-border payme"
CaseMark,35,https://casemark.com,ai,workflow automation,platform,AI-driven legal document summarization
"Skarvo, Inc.",35,https://www.skarvo.com,ai,"ai agent, llm",,"Skarvo is a new kind of AI Super App for teens, young adults, friends, and families — that saves you"
Metashift Labs,35,https://metashiftlabs.com,gaming,"ai agent, llm",,"Metashift Labs is a game studio developing AI-powered, automated RPGs that cater to busy gamers by e"
AlphaEdge,35,https://www.alphaedge-ai.com/,ai,"rag, ai agent",,"Compact, efficient, deployable AI solutions."
UpTrend,35,https://up-trend.co.uk,onlineMarkets,workflow automation,platform,"UpTrend provides resellers with tools to manage inventory, track profits, and automate workflows, he"
Valkiv,35,https://www.valkiv.com/,fintech,"rag, ai agent",,AI-driven insurance solutions provider
SourceGeek,35,https://www.sourcegeek.com,recruitment,intelligent workflow,platform,AI-powered LinkedIn recruitment automation
DefendSphere,35,https://www.defendsphere.io/,cyber,"ai agent, llm",,"We help companies meet critical regulatory standards such as NIS2, GDPR, ISO/IEC 27001, DORA, and SO"
Granter,30,https://granter.ai/,ai,ai agent,,"Granter has built the AI Grant Consultant, an end-to-end vertical AI agent for grants. It allows com"
Cognita,30,,ai,intelligent agent,,Global educational services for all ages.
Hypefy,30,https://www.hypefy.ai,marketingAds,ai agent,,"Hypefy is an AI agent that enables brands to find, price, outreach, hire, track, measure, and pay in"
RedTrack.io,30,https://redtrack.io,marketingAds,agentic,,"Do you know that paid ads market lost clarity after privacy shifts and pixel deprecation? 
SMBs spen"
Garba,30,https://garba.ai/,ai,ai agent,,"Garba uses AI to automate sales tasks, provide actionable coaching insights, and improve productivit"
Deep.Meta,30,https://deepmeta.io/,ai,ai agent,,The cost of operating steel plants in Europe is becoming prohibitive. To help this strategically imp
Jinnify.ai,30,https://jinnify.ai,ai,ai agent,,Autonomous AI agent for e-commerce
Aspis ,30,"https://aspisapp.com/, https://agentcouncil.org/",ai,ai agent,,We help users understand and improve their crypto portfolios by aggregating data from multiple walle
SparkReceipt,30,https://sparkreceipt.com/,fintech,agentic,,AI-powered financial document management
OSCAR,30,https://oscar-app.com,home,ai agent,,OSCAR is the first AI-supervised home service marketplace — a new model that combines end-to-end aut
Aivot Labs Oy,30,https://aivotlabs.ai/,ai,ai agent,,We menage and automate patient communication proactively using patient data. Our AI Orchestrates the
Gampr.ai,30,https://gampr.ai,ai,ai agent,,AI-driven customer support automation
8root,30,https://www.8root.com,ai,ai agent,,AI-powered BIM enhancement solutions
HyperAd.io,30,https://hyperad.io/,ai,ai agent,,"HyperAd is a Creative OS that uses AI agents to predict, simulate, and create high-performing, on-br"
Joble,30,https://joble.app/,ai,ai agent,,"Joble builds voice-first AI agents and a sovereign workspace so organisations can operate anywhere, "
Urban Vind B.V.,30,https://urbanvind.com,mobility,ai agent,,Develops software for European transport operators to accurately count passenger flows and optimize 
Agenton AI,30,https://agenton.ai,ai,ai agent,,Agenton builds human-sounding AI voice agents that automotive dealerships hire as full-time virtual 
Flow AI,30,https://www.flow-ai.com/,ai,ai agent,,Flow AI is the real-world test data engine for AI agents. Accelerate your agent development with con
Sizeless,30,,clothingFashion,"ai workflow, rag",,"AI workflow tools for reproducibility, safety."
Cloudgeni,30,https://cloudgeni.ai/,ai,ai agent,,AI-driven cloud security automation
Genvalues,30,https://genvalues.com,recruitment,ai agent,,"First ai agent for talent discovery & a convince engine.
- Approx. 1B profiles
- A convince engine t"
mika,30,https://www.getmika.de,fintech,ai agent,,"mika is reinventing accounting for German small businesses. Today, founders waste thousands of hours"
Jido,30,https://www.tryjido.com/,fintech,agentic,,We build small business system automation with fast and high privacy agentic systems
Whoever.global,30,https://www.whoever.global/,ai,ai agent,,"AI product development. AI prototyping, AI agents, AI tools, AI analytics, Ai matchmaking systems"
brigit.dev,30,https://brigit.dev/,somethingElse,ai agent,,Software engineering and product development services.
Stealth - ML research,30,,ai,agentic,,"As agent benefit grows and fleets of agents multiply, energy consumption will inevitably rise. To se"
Fainite AG (formerly Optineura AI),30,https://optineura.com/,deeptech,ai agent,,"We are empowering hardware and simulation engineering teams to run simulations in seconds, set up wo"
Callsy AI,30,https://callsy.ai,ai,ai agent,,We help recover Abandoned carts for our Shopify merchants using AI agents.Our AI agents calls abando
Droidrun,30,https://droidrun.ai,ai,ai agent,,Connect AI Agents to 3.5M+ Mobile Apps
GitHits,30,https://githits.com/,ai,agentic,,GitHits is a code search engine that enhances productivity for technical teams by enabling efficient
Jooob.AI,30,,ai,ai agent,,Jooob.AI is a mobile-first AI agent on WhatsApp that automates hiring and workforce operations for b
